mjd,flux,flux err
56095.2442014,0.5197836,0.0102754
56100.1892130,0.5262651,0.0274740
56105.2424769,0.5251847,0.0247942
56109.3033912,0.5127708,0.0121887
56112.1897801,0.5308806,0.0263245
56119.1167940,0.5278157,0.0256284
56139.1318287,0.5338493,0.0157723
56159.0468634,0.5033654,0.0071976
56166.9481366,0.5249087,0.0089109
56173.9938657,0.5162126,0.0156270
56186.0518750,0.5185782,0.0095735
56186.9706481,0.5271145,0.0089829
56192.0563657,0.5271381,0.0135915
56195.0572917,0.5156943,0.0079674
56198.9662731,0.5153001,0.0106516
56200.9647685,0.5202355,0.0081204
56204.9178125,0.5013386,0.0089470
56208.8456829,0.5072964,0.0252651
56214.8561690,0.5068652,0.0237094
56221.8368866,0.4920414,0.0142753
56225.9841319,0.5033844,0.0205499
56228.9613542,0.5135675,0.0219829
56231.9689352,0.5046198,0.0076225
56235.8280671,0.5083963,0.0110482
56243.8544676,0.4812516,0.0989525
56247.7072222,0.5194500,0.0319684
56249.7298958,0.5036697,0.0491412
56255.7800000,0.5061687,0.0242154
56256.6873958,0.5094077,0.0140861
56259.6725926,0.5148015,0.0120656
56260.6851968,0.4970388,0.0287101
56264.8345718,0.4815762,0.0133392
56267.8481829,0.4717354,0.0128360
56275.6324884,0.5156933,0.0078310
56277.8340972,0.4902373,0.0381294
56283.7016551,0.5120527,0.0145040
56294.7931481,0.5105401,0.0194148
56296.5643750,0.4945757,0.0248975
56304.6356250,0.5090259,0.0106877
56313.7166782,0.5101286,0.0267722
56324.5669907,0.5100959,0.0168653
56328.5056829,0.5093165,0.0168670
56337.4578009,0.5243460,0.0302604
56351.5247917,0.5153885,0.0155302
56356.4143750,0.5165578,0.0178427
56362.3878125,0.5202842,0.0110538
56365.5215625,0.5148773,0.0164934
56368.4261574,0.5114881,0.0075344
56372.5446181,0.5021666,0.0072588
56376.3301620,0.5222153,0.0479194
56380.5246181,0.5035635,0.0122626
56385.4377083,0.5130027,0.0179854
56387.4374421,0.5045465,0.0478827
56404.5011921,0.5005428,0.0182407
56412.3760764,0.5061957,0.0265321
56415.3580208,0.5095282,0.0151017
56418.2559375,0.5176386,0.0136608
56423.4166204,0.5088228,0.0343443
56436.2967824,0.5145840,0.0114130
56447.2909954,0.5111358,0.0121630
56451.1789236,0.5307169,0.0235269
56460.2471991,0.5040858,0.0245024
56472.1991551,0.4977527,0.0225719
56483.2220139,0.5195785,0.0204489
56491.1528819,0.5225154,0.0101954
56510.1891551,0.5198268,0.0096929
56520.1415972,0.5237358,0.0268625
56528.0629861,0.5386320,0.0112069
56534.0509838,0.5241328,0.0242579
56554.9082639,0.5135478,0.0083524
56558.0248843,0.5142880,0.0091665
56564.0543171,0.5141015,0.0131177
56566.8466551,0.5094515,0.0512981
56572.8459838,0.5285530,0.0080775
56582.8147801,0.4956064,0.0088480
56585.9193287,0.5182350,0.0079341
56591.8540972,0.5249231,0.0112824
56597.8830556,0.5120877,0.0079622
56605.9608912,0.5090783,0.0216224
56606.7970255,0.4779544,0.0080679
56609.8028472,0.5009337,0.0225024
56609.9475463,0.5033559,0.0180299
56610.7861227,0.5045252,0.0269753
56613.9141319,0.4833070,0.0209887
56621.7345718,0.5077794,0.0219193
56625.7791319,0.5075047,0.0162819
56628.6768403,0.5057970,0.0252228
56642.6504167,0.5153749,0.0122027
56650.7781829,0.5119266,0.0097510
56652.6874884,0.5151688,0.0313903
56653.5951620,0.5265725,0.0049675
56658.7122801,0.5150794,0.0229737
56670.6525810,0.5130240,0.0085173
56674.6338079,0.5210370,0.0105688
56678.6218866,0.5203255,0.0169905
56683.6129977,0.5132152,0.0211771
56693.6166435,0.5101010,0.0086737
56696.4670139,0.5229592,0.0234976
56697.5846412,0.5114632,0.0260437
56702.6134259,0.5071698,0.0066622
56706.4598264,0.5192012,0.0082070
56709.5047222,0.5116832,0.0118341
56712.4515046,0.5169577,0.0081582
56726.5130903,0.5011665,0.0233484
56732.5862847,0.5168262,0.0176995
56735.5129167,0.4912350,0.0198613
56738.4917477,0.5156533,0.0095579
56741.5851505,0.5003099,0.0109111
56745.4244097,0.5157595,0.0129294
56747.4423727,0.5169627,0.0100824
56750.4430440,0.5068769,0.0118943
56754.4246759,0.5161329,0.0139924
56757.4210880,0.5339607,0.0520356
56758.3001736,0.5151357,0.0090996
56762.2936574,0.5115261,0.0132396
56765.4512847,0.5109776,0.0077684
56775.2800347,0.5232768,0.0325762
56781.2555903,0.5117398,0.0192699
56790.3639468,0.5089912,0.0107284
56793.3216088,0.5093018,0.0112302
56829.2927778,0.5472873,0.0128805
56834.2878935,0.5358875,0.0122088
56837.2924074,0.5445658,0.0114198
56842.2649306,0.5358924,0.0123569
56844.2630208,0.5352108,0.0083459
56852.2450694,0.5240565,0.0140252
56864.2187384,0.5432308,0.0216066
56874.1461111,0.5316346,0.0126907
56877.1355556,0.5453040,0.0096883
56879.1449884,0.5039089,0.0180109
56889.1221296,0.5218954,0.0166116
56899.0899190,0.5501380,0.0247928
56908.0779167,0.5086860,0.0106860
56911.0427083,0.5221396,0.0085914
56913.0759954,0.5186805,0.0101807
56940.9971991,0.5097552,0.0217802
56948.9725926,0.5340015,0.0127382
56966.9143634,0.4890889,0.0131912
56970.8993750,0.5410122,0.0167642
57018.7725000,0.5384677,0.0143562
57028.7600810,0.5313654,0.0109380
57033.7209375,0.5652764,0.0155153
57038.7339468,0.5147236,0.0107300
57048.7064120,0.5603911,0.0129449
57054.6886806,0.5113679,0.0098666
57059.6686111,0.5307139,0.0119024
57064.6482639,0.5214141,0.0128103
57073.6694329,0.5338070,0.0153775
57081.6171412,0.5396027,0.0244364
57084.5743519,0.5451610,0.0168405
57090.5935069,0.5557876,0.0121530
57097.5774653,0.5306270,0.0098631
57104.5648264,0.5367604,0.0094215
57107.5208565,0.5256090,0.0110924
57109.5440509,0.5201471,0.0094916
57121.3245833,0.5546107,0.0109255
57123.3157292,0.5268004,0.0088707
57125.3840394,0.5335157,0.0127250
57146.3179514,0.5233192,0.0117497
57149.3275231,0.5315935,0.0183322
57216.2574884,0.5329795,0.0059119
57228.1185764,0.5703050,0.0064928
57249.0484838,0.5855709,0.0198111
57253.1820486,0.5734831,0.0200482
57282.0098843,0.5490295,0.0118761
57286.8991088,0.5702264,0.0164835
57287.9037963,0.5774875,0.0183783
57305.8234838,0.5320375,0.0173877
57318.8233333,0.5407017,0.0304268
57356.6734838,0.5683514,0.0073098
57365.6422454,0.5668023,0.0072545
57369.6310069,0.5735132,0.0073721
57389.8063194,0.5388621,0.0069890
57399.5558681,0.5742714,0.0084141
57404.5424190,0.5742089,0.0075277
57424.5067245,0.5773292,0.0072166
57426.4998380,0.5783852,0.0067885
57431.4508449,0.5528207,0.0077752
57434.4603588,0.5653407,0.0106009
57438.4299421,0.5777969,0.0079714
57451.4874074,0.5610916,0.0080720
