Date,Price
2016-10-26,122.9132
2016-11-02,123.2696
2016-11-09,123.0447
2016-11-16,126.1779
2016-11-23,127.0519
2016-11-30,127.3814
2016-12-07,126.7331
2016-12-14,126.5559
2016-12-21,128.2102
2016-12-28,128.5849
2017-01-04,128.3967
2017-01-11,128.0891
2017-01-18,127.2249
2017-01-25,126.9252
2017-02-01,126.2883
2017-02-08,125.493
2017-02-15,125.739
2017-02-22,125.7359
2017-03-01,125.3127
2017-03-08,126.0582
2017-03-15,126.0226
2017-03-22,124.4518
2017-03-29,123.881
2017-04-05,124.1538
2017-04-12,124.3792
2017-04-19,123.8165
2017-04-26,124.0104
2017-05-03,124.1316
2017-05-10,124.4844
2017-05-17,123.7573
2017-05-24,123.1508
2017-05-31,122.7216
2017-06-07,122.2323
2017-06-14,121.9068
2017-06-21,122.2406
